Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area
Andhra Pradesh,31-01-2019,Monthly,3.65,15879820,42.34,Rural
Andhra Pradesh,28-02-2019,Monthly,4.03,15716520,42.11,Rural
Andhra Pradesh,31-03-2019,Monthly,3.56,15943210,42.45,Rural
Andhra Pradesh,30-04-2019,Monthly,3.12,16098450,42.67,Rural
Andhra Pradesh,31-05-2019,Monthly,2.98,16187230,42.89,Rural
Andhra Pradesh,30-06-2019,Monthly,3.23,16045780,42.56,Rural
Andhra Pradesh,31-07-2019,Monthly,3.89,15832450,42.12,Rural
Andhra Pradesh,31-08-2019,Monthly,4.21,15678340,41.87,Rural
Andhra Pradesh,30-09-2019,Monthly,3.78,15891230,42.23,Rural
Andhra Pradesh,31-10-2019,Monthly,3.45,16012340,42.54,Rural
Andhra Pradesh,30-11-2019,Monthly,3.67,15924560,42.34,Rural
Andhra Pradesh,31-12-2019,Monthly,3.98,15798230,41.98,Rural
Andhra Pradesh,31-01-2020,Monthly,4.12,15689450,41.76,Rural
Andhra Pradesh,29-02-2020,Monthly,5.48,15234560,40.23,Rural
Andhra Pradesh,31-03-2020,Monthly,7.89,14456780,38.45,Rural
Andhra Pradesh,30-04-2020,Monthly,21.43,12345670,33.12,Rural
Andhra Pradesh,31-05-2020,Monthly,19.87,12678450,34.56,Rural
Andhra Pradesh,30-06-2020,Monthly,15.34,13456780,36.78,Rural
Andhra Pradesh,31-07-2020,Monthly,12.45,14123450,38.12,Rural
Andhra Pradesh,31-08-2020,Monthly,10.23,14678230,39.45,Rural
Andhra Pradesh,30-09-2020,Monthly,8.76,15012340,40.12,Rural
Andhra Pradesh,31-10-2020,Monthly,7.34,15423450,41.23,Rural
Andhra Pradesh,30-11-2020,Monthly,6.12,15789230,41.89,Rural
Andhra Pradesh,31-01-2019,Monthly,2.89,8234560,39.12,Urban
Andhra Pradesh,28-02-2019,Monthly,3.12,8156780,38.89,Urban
Andhra Pradesh,31-03-2019,Monthly,2.76,8298450,39.34,Urban
Andhra Pradesh,30-04-2019,Monthly,2.45,8367890,39.67,Urban
Andhra Pradesh,31-05-2019,Monthly,2.34,8412340,39.89,Urban
Andhra Pradesh,30-06-2019,Monthly,2.67,8345670,39.45,Urban
Andhra Pradesh,31-07-2019,Monthly,3.23,8234510,38.98,Urban
Andhra Pradesh,31-08-2019,Monthly,3.56,8145670,38.67,Urban
Andhra Pradesh,30-09-2019,Monthly,3.12,8267890,39.12,Urban
Andhra Pradesh,31-10-2019,Monthly,2.78,8334560,39.45,Urban
Andhra Pradesh,30-11-2019,Monthly,2.98,8289450,39.23,Urban
Andhra Pradesh,31-12-2019,Monthly,3.34,8212340,38.89,Urban
Andhra Pradesh,31-01-2020,Monthly,3.67,8123450,38.45,Urban
Andhra Pradesh,29-02-2020,Monthly,4.89,7898450,37.12,Urban
Andhra Pradesh,31-03-2020,Monthly,9.23,7234560,34.56,Urban
Andhra Pradesh,30-04-2020,Monthly,23.87,6123450,29.12,Urban
Andhra Pradesh,31-05-2020,Monthly,21.45,6456780,30.78,Urban
Andhra Pradesh,30-06-2020,Monthly,17.23,6789230,32.45,Urban
Andhra Pradesh,31-07-2020,Monthly,13.67,7123450,34.12,Urban
Andhra Pradesh,31-08-2020,Monthly,11.23,7456780,35.67,Urban
Andhra Pradesh,30-09-2020,Monthly,9.45,7723450,36.89,Urban
Andhra Pradesh,31-10-2020,Monthly,7.89,7989230,37.98,Urban
Andhra Pradesh,30-11-2020,Monthly,6.45,8156780,38.67,Urban
Karnataka,31-01-2019,Monthly,2.34,18234560,48.12,Rural
Karnataka,28-02-2019,Monthly,2.67,18098450,47.89,Rural
Karnataka,31-03-2019,Monthly,2.21,18356780,48.34,Rural
Karnataka,30-04-2019,Monthly,1.98,18478920,48.67,Rural
Karnataka,31-05-2019,Monthly,1.87,18567340,48.92,Rural
Karnataka,30-06-2019,Monthly,2.12,18423450,48.56,Rural
Karnataka,31-07-2019,Monthly,2.78,18234560,48.12,Rural
Karnataka,31-08-2019,Monthly,3.12,18067890,47.67,Rural
Karnataka,30-09-2019,Monthly,2.67,18289450,48.23,Rural
Karnataka,31-10-2019,Monthly,2.34,18423450,48.56,Rural
Karnataka,30-11-2019,Monthly,2.56,18334560,48.34,Rural
Karnataka,31-12-2019,Monthly,2.89,18212340,47.98,Rural
Karnataka,31-01-2020,Monthly,3.23,18098450,47.56,Rural
Karnataka,29-02-2020,Monthly,4.67,17723450,46.23,Rural
Karnataka,31-03-2020,Monthly,8.34,16789230,43.45,Rural
Karnataka,30-04-2020,Monthly,24.56,13456780,36.78,Rural
Karnataka,31-05-2020,Monthly,22.34,14123450,38.12,Rural
Karnataka,30-06-2020,Monthly,17.89,15234560,40.23,Rural
Karnataka,31-07-2020,Monthly,14.23,16123450,42.34,Rural
Karnataka,31-08-2020,Monthly,11.45,16789230,44.12,Rural
Karnataka,30-09-2020,Monthly,9.67,17234560,45.67,Rural
Karnataka,31-10-2020,Monthly,8.12,17678450,46.89,Rural
Karnataka,30-11-2020,Monthly,6.78,18012340,47.67,Rural
Karnataka,31-01-2019,Monthly,1.98,9456780,44.12,Urban
Karnataka,28-02-2019,Monthly,2.23,9389450,43.89,Urban
