region,date,frequency,estimated_unemployment_rate_pct,estimated_employed,estimated_labour_participation_rate_pct,area,year,month,month_name,quarter,quarter_label,covid_period
Andhra Pradesh,2019-01-31,Monthly,3.65,15879820,42.34,Rural,2019,1,January,1,Q1 (Jan-Mar),Pre-COVID
Andhra Pradesh,2019-02-28,Monthly,4.03,15716520,42.11,Rural,2019,2,February,1,Q1 (Jan-Mar),Pre-COVID
Andhra Pradesh,2019-03-31,Monthly,3.56,15943210,42.45,Rural,2019,3,March,1,Q1 (Jan-Mar),Pre-COVID
Andhra Pradesh,2019-04-30,Monthly,3.12,16098450,42.67,Rural,2019,4,April,2,Q2 (Apr-Jun),Pre-COVID
Andhra Pradesh,2019-05-31,Monthly,2.98,16187230,42.89,Rural,2019,5,May,2,Q2 (Apr-Jun),Pre-COVID
Andhra Pradesh,2019-06-30,Monthly,3.23,16045780,42.56,Rural,2019,6,June,2,Q2 (Apr-Jun),Pre-COVID
Andhra Pradesh,2019-07-31,Monthly,3.89,15832450,42.12,Rural,2019,7,July,3,Q3 (Jul-Sep),Pre-COVID
Andhra Pradesh,2019-08-31,Monthly,4.21,15678340,41.87,Rural,2019,8,August,3,Q3 (Jul-Sep),Pre-COVID
Andhra Pradesh,2019-09-30,Monthly,3.78,15891230,42.23,Rural,2019,9,September,3,Q3 (Jul-Sep),Pre-COVID
Andhra Pradesh,2019-10-31,Monthly,3.45,16012340,42.54,Rural,2019,10,October,4,Q4 (Oct-Dec),Pre-COVID
Andhra Pradesh,2019-11-30,Monthly,3.67,15924560,42.34,Rural,2019,11,November,4,Q4 (Oct-Dec),Pre-COVID
Andhra Pradesh,2019-12-31,Monthly,3.98,15798230,41.98,Rural,2019,12,December,4,Q4 (Oct-Dec),Pre-COVID
Andhra Pradesh,2020-01-31,Monthly,4.12,15689450,41.76,Rural,2020,1,January,1,Q1 (Jan-Mar),Pre-COVID
Andhra Pradesh,2020-02-29,Monthly,5.48,15234560,40.23,Rural,2020,2,February,1,Q1 (Jan-Mar),Pre-COVID
Andhra Pradesh,2020-03-31,Monthly,7.89,14456780,38.45,Rural,2020,3,March,1,Q1 (Jan-Mar),COVID
Andhra Pradesh,2020-04-30,Monthly,21.43,12345670,33.12,Rural,2020,4,April,2,Q2 (Apr-Jun),COVID
Andhra Pradesh,2020-05-31,Monthly,19.87,12678450,34.56,Rural,2020,5,May,2,Q2 (Apr-Jun),COVID
Andhra Pradesh,2020-06-30,Monthly,15.34,13456780,36.78,Rural,2020,6,June,2,Q2 (Apr-Jun),COVID
Andhra Pradesh,2020-07-31,Monthly,12.45,14123450,38.12,Rural,2020,7,July,3,Q3 (Jul-Sep),COVID
Andhra Pradesh,2020-08-31,Monthly,10.23,14678230,39.45,Rural,2020,8,August,3,Q3 (Jul-Sep),COVID
Andhra Pradesh,2020-09-30,Monthly,8.76,15012340,40.12,Rural,2020,9,September,3,Q3 (Jul-Sep),COVID
Andhra Pradesh,2020-10-31,Monthly,7.34,15423450,41.23,Rural,2020,10,October,4,Q4 (Oct-Dec),COVID
